{'model': 't5-small', 'token': 't5-small', 'embedding_size': 512, 'hidden_size': 512, 'learning_rate': 0.001, 'epoch_num': 500}
{'val_loss': 4.550928831100464, 'train_loss': 7.210595279932022, 'bleu_score': 0.0}
{'val_loss': 2.8840649724006653, 'train_loss': 4.016720071434975, 'bleu_score': 0.0}
{'val_loss': 2.478220224380493, 'train_loss': 3.016535386443138, 'bleu_score': 0.0}
{'val_loss': 2.319097340106964, 'train_loss': 2.7442206144332886, 'bleu_score': 0.0}
{'val_loss': 2.3380246758461, 'train_loss': 2.6328965574502945, 'bleu_score': 0.0}
{'val_loss': 2.1256017088890076, 'train_loss': 2.491605594754219, 'bleu_score': 0.0}
{'val_loss': 2.0217357873916626, 'train_loss': 2.368806540966034, 'bleu_score': 0.0}
{'val_loss': 1.9779865145683289, 'train_loss': 2.2658382952213287, 'bleu_score': 0.0}
{'val_loss': 1.9230076968669891, 'train_loss': 2.1732199490070343, 'bleu_score': 0.0}
{'val_loss': 1.91202911734581, 'train_loss': 2.1042453944683075, 'bleu_score': 0.020606906677504706}
{'val_loss': 1.8586660325527191, 'train_loss': 2.0268209129571915, 'bleu_score': 0.024432658815098512}
{'val_loss': 1.8234439492225647, 'train_loss': 1.9427746683359146, 'bleu_score': 0.02364746264078471}
{'val_loss': 1.7368395626544952, 'train_loss': 1.864739216864109, 'bleu_score': 0.025059719208353877}
{'val_loss': 1.707549810409546, 'train_loss': 1.7923744767904282, 'bleu_score': 0.022760184652348057}
{'val_loss': 1.6831097900867462, 'train_loss': 1.714591346681118, 'bleu_score': 0.03189292508993685}
{'val_loss': 1.6563416123390198, 'train_loss': 1.6466592252254486, 'bleu_score': 0.0396142691373141}
{'val_loss': 1.6467342376708984, 'train_loss': 1.5747880041599274, 'bleu_score': 0.031268161280147595}
{'val_loss': 1.6171486675739288, 'train_loss': 1.5196648836135864, 'bleu_score': 0.04200247529161469}
{'val_loss': 1.6272233724594116, 'train_loss': 1.4674090445041656, 'bleu_score': 0.04631865295863487}
{'val_loss': 1.5880813002586365, 'train_loss': 1.415527991950512, 'bleu_score': 0.060864502146205424}
{'val_loss': 1.5761737525463104, 'train_loss': 1.3371152803301811, 'bleu_score': 0.0682287785627528}
{'val_loss': 1.56531423330307, 'train_loss': 1.2856891602277756, 'bleu_score': 0.08127934030892209}
{'val_loss': 1.560689777135849, 'train_loss': 1.2468160837888718, 'bleu_score': 0.07972592363901346}
{'val_loss': 1.6078839898109436, 'train_loss': 1.1779851615428925, 'bleu_score': 0.06893270695912257}
{'val_loss': 1.5697265267372131, 'train_loss': 1.1638372093439102, 'bleu_score': 0.09384052816491652}
{'val_loss': 1.5753708481788635, 'train_loss': 1.1003750190138817, 'bleu_score': 0.09748009048213435}
{'val_loss': 1.5762160420417786, 'train_loss': 1.0486464835703373, 'bleu_score': 0.09456784723835243}
{'val_loss': 1.547691524028778, 'train_loss': 1.0165717862546444, 'bleu_score': 0.11331082192891408}
{'val_loss': 1.6031517386436462, 'train_loss': 0.9671309925615788, 'bleu_score': 0.1171579499444301}
{'val_loss': 1.5833319127559662, 'train_loss': 0.9389244318008423, 'bleu_score': 0.11945814312997212}
{'val_loss': 1.5508253574371338, 'train_loss': 0.8956518471240997, 'bleu_score': 0.1291021673200272}
{'val_loss': 1.6124242544174194, 'train_loss': 0.857423547655344, 'bleu_score': 0.12565250001741704}
{'val_loss': 1.622573435306549, 'train_loss': 0.8181599602103233, 'bleu_score': 0.12146839948342703}
{'val_loss': 1.6127976179122925, 'train_loss': 0.8040727823972702, 'bleu_score': 0.1343490222154319}
{'val_loss': 1.6755715310573578, 'train_loss': 0.7697648927569389, 'bleu_score': 0.12987291859903832}
{'val_loss': 1.6938227415084839, 'train_loss': 0.7410968579351902, 'bleu_score': 0.13226648153754395}
{'val_loss': 1.689965933561325, 'train_loss': 0.712494220584631, 'bleu_score': 0.13291536815843533}
{'val_loss': 1.6695619523525238, 'train_loss': 0.6828028149902821, 'bleu_score': 0.14672574420111}
{'val_loss': 1.6801637709140778, 'train_loss': 0.6501235291361809, 'bleu_score': 0.13633749027176661}
{'val_loss': 1.6561377942562103, 'train_loss': 0.6396498195827007, 'bleu_score': 0.1408958709363519}
{'val_loss': 1.6999355554580688, 'train_loss': 0.598370686173439, 'bleu_score': 0.14975314357087838}
{'val_loss': 1.6561155915260315, 'train_loss': 0.5818767603486776, 'bleu_score': 0.14901766099485486}
{'val_loss': 1.7016377449035645, 'train_loss': 0.5743053182959557, 'bleu_score': 0.14108857962696697}
{'val_loss': 1.7256180346012115, 'train_loss': 0.5465889144688845, 'bleu_score': 0.15957524455941266}
{'val_loss': 1.7850892841815948, 'train_loss': 0.5148144289851189, 'bleu_score': 0.14871433175989943}
{'val_loss': 1.7277706265449524, 'train_loss': 0.49399135261774063, 'bleu_score': 0.16277066683356914}
{'val_loss': 1.7560692727565765, 'train_loss': 0.47788033075630665, 'bleu_score': 0.15865211662174827}
{'val_loss': 1.7778264582157135, 'train_loss': 0.46798732317984104, 'bleu_score': 0.17049261860608012}
{'val_loss': 1.7589668929576874, 'train_loss': 0.44433920085430145, 'bleu_score': 0.1655691088052112}
{'val_loss': 1.7868119180202484, 'train_loss': 0.42712840996682644, 'bleu_score': 0.1673878946493784}
{'val_loss': 1.8438951969146729, 'train_loss': 0.40863241627812386, 'bleu_score': 0.17151621117284932}
{'val_loss': 1.8755697011947632, 'train_loss': 0.3992875013500452, 'bleu_score': 0.17176483252281607}
